74.91.124.21:27015 | GFL
87.98.228.196:27040 | Mapeadores
202.189.4.212:27001 | EXG 01
202.189.10.86:27001 | EXG 02
202.189.4.124:27001 | EXG 03
202.189.10.184:27001 | EXG 04
202.189.4.230:27001 | EXG 05
202.189.10.190:27001 | EXG 06
202.189.4.234:27001 | EXG 07
202.189.10.196:27001 | EXG 08
202.189.10.208:27001 | EXG 11
202.189.5.225:27001 | EXG 12
202.189.5.227:27001 | EXG 13
110.42.9.188:27011 | UB 01
110.42.9.188:27021 | UB 02
110.42.9.188:27031 | UB 03
110.42.9.127:27051 | UB 05
110.42.9.127:27061 | UB 06
110.42.9.127:27071 | UB 07
110.42.9.195:27111 | UB 11
110.42.9.195:27121 | UB 12
110.42.9.195:27131 | UB 13
cs1.zombieden.cn:27016 | Zed 02
cs3.zombieden.cn:27015 | Zed 03
cs3.zombieden.cn:27016 | Zed 04
cs5.zombieden.cn:27015 | Zed 05
cs5.zombieden.cn:27016 | Zed 06

